player,team,touches,touch_map_saved,error
Michael Zetterer,Eintracht Frankfurt,1025,True,
Michy Batshuayi,Eintracht Frankfurt,64,True,
Mick Schmetgens,Werder Bremen,52,True,
Mikkel Kaufmann,FC Heidenheim,188,True,
Mio Backhaus,Werder Bremen,1438,True,
Miro Muheim,Hamburg,1876,True,
Mohammed Amoura,Wolfsburg,894,True,
Montrell Culbreath,Leverkusen,448,True,
Moritz Jenz,Wolfsburg,1270,True,
Moritz Nicolas,Borussia M.Gladbach,1495,True,
Muhammed Damar,Hoffenheim,223,True,
Nadiem Amiri,Mainz,1632,True,
Nathan Tella,Leverkusen,429,True,
Nathaniel Brown,Eintracht Frankfurt,1765,True,
Nelson Weiper,Mainz,251,True,
Nick Woltemade,Stuttgart,30,True,
Nico Elvedi,Borussia M.Gladbach,2312,True,
Nico Schlotterbeck,Borussia Dortmund,2498,True,
Nicolai Remberg,Hamburg,1795,True,
Nicolas Höfler,Freiburg,161,True,
Nicolas Jackson,Bayern,510,True,
Nicolas Seiwald,RBL,1803,True,
Nicolás Capaldo,Hamburg,1166,True,
Niklas Beste,Freiburg,905,True,
Niklas Dorsch,FC Heidenheim,1346,True,
Niklas Stark,Werder Bremen,575,True,
Niklas Süle,Borussia Dortmund,431,True,
Nikola Vasilj,St. Pauli,1460,True,
Nikolas Nartey,Stuttgart,748,True,
Nikolas Veratschnig,Mainz,426,True,
Nnamdi Collins,Eintracht Frankfurt,1432,True,
Noah Atubolu,Freiburg,1696,True,
Noahkai Banks,Augsburg,1149,True,
Oladapo Afolayan,St. Pauli,128,True,
Oliver Baumann,Hoffenheim,1582,True,
Oliver Burke,Union Berlin,606,True,
Olivier Deman,Werder Bremen,1009,True,
Omar Haktab Traoré,FC Heidenheim,985,True,
Oscar Fraulo,Borussia M.Gladbach,31,True,
Oscar Højlund,Eintracht Frankfurt,721,True,
Otto Stange,Hamburg,111,True,
Ozan Kabak,Hoffenheim,1464,True,
Pascal Groß,Borussia Dortmund,577,True,
Pascal Stenzel,Stuttgart,84,True,
Patrice Covic,Werder Bremen,270,True,
Patrick Mainka,FC Heidenheim,1927,True,
Patrick Osterhage,Freiburg,636,True,
Patrick Wimmer,Wolfsburg,957,True,
Patrik Schick,Leverkusen,693,True,
Paul Nebel,Mainz,1273,True,
Pharell Hensel,Wolfsburg,39,True,
Philip Otele,Hamburg,198,True,
Philipp Lienhart,Freiburg,1261,True,
Philipp Sander,Borussia M.Gladbach,1959,True,
Philipp Treu,Freiburg,1303,True,
Phillip Tietz,Augsburg,109,True,
Phillip Tietz,Mainz,720,True,
Phillipp Mwene,Mainz,1138,True,
Piero Hincapié,Leverkusen,102,True,
Péter Gulácsi,RBL,925,True,
Ragnar Ache,FC Koln,623,True,
Ramon Hendriks,Stuttgart,1630,True,
Ramy Bensebaini,Borussia Dortmund,1482,True,
Rani Khedira,Union Berlin,1045,True,
Ransford Königsdörffer,Hamburg,808,True,
Raphaël Guerreiro,Bayern,621,True,
Rasmus Kristensen,Eintracht Frankfurt,1500,True,
Rav van den Berg,FC Koln,861,True,
Rayan Philippe,Hamburg,474,True,
Ricky-Jade Jones,St. Pauli,134,True,
Ridle Baku,RBL,2332,True,
Ritsu Doan,Eintracht Frankfurt,1444,True,
Robert Andrich,Leverkusen,2175,True,
Robert Glatzel,Hamburg,240,True,
Robert Skov,Union Berlin,120,True,
Robin Fellhauer,Augsburg,1601,True,
Robin Hack,Borussia M.Gladbach,209,True,
Robin Hranác,Hoffenheim,1591,True,
Robin Koch,Eintracht Frankfurt,2596,True,
Robin Zentner,Mainz,458,True,
Rocco Reitz,Borussia M.Gladbach,1896,True,
Rodrigo Ribeiro,Augsburg,228,True,
Romano Schmid,Werder Bremen,2162,True,
Rômulo,RBL,945,True,
Sacha Boey,Bayern,411,True,
Salih Özcan,Borussia Dortmund,106,True,
Salim Musah,Werder Bremen,96,True,
Samuel Essende,Augsburg,192,True,
Samuel Mbangula,Werder Bremen,741,True,
