player,team,touches,touch_map_saved,error
Unai Gómez,Athletic Club,385,True,
Unai López,Rayo Vallecano,1351,True,
Unai Marrero,Real Sociedad,52,True,
Unai Núñez,Valencia,636,True,
Unai Simón,Athletic Club,1485,True,
Unai Vencedor,Levante,537,True,
Urko González de Zárate,Espanyol,1376,True,
Urko Izeta,Athletic Club,108,True,
Valde,Real Madrid,55,True,
Valentin Rosier,Osasuna,1717,True,
Valentín Gómez,Real Betis,1353,True,
Vedat Muriqi,Mallorca,1216,True,
Veljko Birmancevic,Getafe,68,True,
Victor Parada,Deportivo Alaves,1130,True,
Viktor Tsygankov,Girona,1533,True,
Ville Koski,Deportivo Alaves,103,True,
Vinícius Júnior,Real Madrid,1894,True,
Vitor Reis,Girona,2447,True,
Vladyslav Krapyvtsov,Girona,54,True,
Vladyslav Vanat,Girona,461,True,
Víctor Chust,Elche,1899,True,
Víctor García,Levante,557,True,
Víctor Muñoz,Osasuna,1394,True,
Wesley,Real Sociedad,55,True,
Williot Swedberg,Celta Vigo,519,True,
Willy Kambwala,Villarreal,50,True,
Wojciech Szczesny,Barcelona,315,True,
Xavi Espart,Barcelona,181,True,
Yago Santiago,Elche,154,True,
Yangel Herrera,Girona,65,True,
Yangel Herrera,Real Sociedad,341,True,
Yeray Álvarez,Athletic Club,361,True,
Yoel Lago,Celta Vigo,683,True,
Youssef Enriquez,Deportivo Alaves,907,True,
Yuri Berchiche,Athletic Club,2188,True,
Yvan Neyou,Getafe,36,True,
Yáser Asprilla,Girona,312,True,
Yéremy Pino,Villarreal,123,True,
Zaid Romero,Getafe,695,True,
Zito Luvumbo,Mallorca,183,True,
Àlex Moreno,Girona,1767,True,
Álex Baena,Atletico,1113,True,
Álex Forés,Real Oviedo,124,True,
Álex Padilla,Athletic Club,42,True,
Álex Remiro,Real Sociedad,1726,True,
Álex Sancris,Getafe,373,True,
Álex Sánchez,Elche,12,True,
Álvaro Carreras,Real Madrid,2318,True,
Álvaro Cortés,Barcelona,109,True,
Álvaro Fidalgo,Real Betis,390,True,
Álvaro García,Rayo Vallecano,886,True,
Álvaro Núñez,Celta Vigo,270,True,
Álvaro Núñez,Elche,1326,True,
Álvaro Odriozola,Real Sociedad,71,True,
Álvaro Rodríguez,Elche,1075,True,
Álvaro Valles,Real Betis,1153,True,
Ángel Fortuño,Espanyol,41,True,
Ángel Ortiz,Real Betis,432,True,
Ángel Pérez,Deportivo Alaves,831,True,
Éder Militão,Real Madrid,951,True,
Íñigo Lekue,Athletic Club,431,True,
Íñigo Ruiz de Galarreta,Athletic Club,1685,True,
Óscar Mingueza,Celta Vigo,1743,True,
Óscar Trejo,Rayo Vallecano,151,True,
Óscar Valentín,Rayo Vallecano,1254,True,
Ørjan Nyland,Sevilla,174,True,
